scope,variant,sample_count,fake_recall,mean_fake_prob,mean_probability_delta,recall_retention
ADM,original,1000,0.37,0.4113020159807056,0.0,1.0
ADM,jpeg75,1000,0.004,0.08330821473058313,-0.3279938012501225,0.010810810810810811
ADM,jpeg50,1000,0.003,0.07952488322556019,-0.3317771327551454,0.008108108108108109
ADM,resize50,1000,0.866,0.8007624388076365,0.3894604228269309,2.3405405405405406
ADM,screenshot,1000,0.077,0.16043579557538032,-0.2508662204053253,0.20810810810810812
BigGAN,original,1000,0.949,0.8839666757956147,0.0,1.0
BigGAN,jpeg75,1000,0.004,0.10944553642254323,-0.7745211393730715,0.004214963119072709
BigGAN,jpeg50,1000,0.002,0.09979386367555708,-0.7841728121200576,0.0021074815595363543
BigGAN,resize50,1000,0.846,0.7854234158210457,-0.09854325997456909,0.8914646996838778
BigGAN,screenshot,1000,0.012,0.12467776481714099,-0.7592889109784737,0.012644889357218126
Glide,original,1000,0.729,0.698045516781509,0.0,1.0
Glide,jpeg75,1000,0.019,0.11687015714962036,-0.5811753596318886,0.02606310013717421
Glide,jpeg50,1000,0.005,0.0987296058931388,-0.5993159108883701,0.006858710562414267
Glide,resize50,1000,0.868,0.8040056512318552,0.10596013445034623,1.1906721536351166
Glide,screenshot,1000,0.281,0.3365116307167336,-0.36153388606477527,0.3854595336076818
Midjourney,original,1000,0.492,0.4983012288901955,0.0,1.0
Midjourney,jpeg75,1000,0.26,0.3069813818708062,-0.19131984701938928,0.5284552845528455
Midjourney,jpeg50,1000,0.099,0.19228717504814266,-0.3060140538420528,0.20121951219512196
Midjourney,resize50,1000,0.537,0.543231136802584,0.04492990791238844,1.0914634146341464
Midjourney,screenshot,1000,0.38,0.3986594039425254,-0.0996418249476701,0.7723577235772358
SD14,original,1000,0.725,0.6960290034487844,0.0,1.0
SD14,jpeg75,1000,0.183,0.24577815210446716,-0.4502508513443172,0.2524137931034483
SD14,jpeg50,1000,0.029,0.13174397475225852,-0.5642850286965259,0.04
SD14,resize50,1000,0.883,0.8121947921644896,0.11616578871570528,1.2179310344827587
SD14,screenshot,1000,0.408,0.4298786089764908,-0.26615039447229355,0.5627586206896552
SD15,original,1000,0.731,0.6915563540793955,0.0,1.0
SD15,jpeg75,1000,0.155,0.22521269505098462,-0.4663436590284109,0.21203830369357046
SD15,jpeg50,1000,0.023,0.12630137408711017,-0.5652549799922854,0.03146374829001368
SD15,resize50,1000,0.891,0.8073427361808717,0.1157863821014762,1.2188782489740082
SD15,screenshot,1000,0.378,0.40281481169722977,-0.2887415423821658,0.5170998632010944
VQDM,original,1000,0.131,0.2199179395129904,0.0,1.0
VQDM,jpeg75,1000,0.0,0.07914893011469394,-0.14076900939829648,0.0
VQDM,jpeg50,1000,0.0,0.0764274796191603,-0.1434904598938301,0.0
VQDM,resize50,1000,0.834,0.7682425675522536,0.5483246280392632,6.366412213740458
VQDM,screenshot,1000,0.027,0.11564036778733135,-0.10427757172565907,0.20610687022900762
Wukong,original,1000,0.636,0.6279117254633456,0.0,1.0
Wukong,jpeg75,1000,0.168,0.2328025847496465,-0.3951091407136992,0.2641509433962264
Wukong,jpeg50,1000,0.026,0.12628839850798249,-0.5016233269553632,0.040880503144654086
Wukong,resize50,1000,0.845,0.7812792000882327,0.15336747462488712,1.3286163522012577
Wukong,screenshot,1000,0.388,0.41389840365294367,-0.21401332181040197,0.610062893081761
